"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","MWMHP-24KW3","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","24.16","4","10","0","2","0"
"1","EN14511_2_001","24.51","5","10","0","2","0"
"1","EN14511_2_002","5.59","4","10","0","2","0"
"1","EN14511_2_002","7.99","5","10","0","2","0"
"1","EN14511_2_003","4.32","4","10","0","2","0"
"1","EN14511_2_003","3.07","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","72","4","3","0","2","0"
"1","EN12102_1_002","73","5","3","0","2","0"
"1","EN14825_001","177","4","3","0","2","0"
"1","EN14825_001","130","5","3","0","2","0"
"1","EN14825_002","16.04","4","3","0","2","0"
"1","EN14825_002","16.75","5","3","0","2","0"
"1","EN14825_003","4.51","4","3","0","2","0"
"1","EN14825_003","3.32","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","14.19","4","3","0","2","0"
"1","EN14825_008","14.82","5","3","0","2","0"
"1","EN14825_009","3.10","4","3","0","2","0"
"1","EN14825_009","2.19","5","3","0","2","0"
"1","EN14825_047","0.900","4","3","0","2","0"
"1","EN14825_047","0.900","5","3","0","2","0"
"1","EN14825_010","8.66","4","3","0","2","0"
"1","EN14825_010","9.35","5","3","0","2","0"
"1","EN14825_011","4.52","4","3","0","2","0"
"1","EN14825_011","3.49","5","3","0","2","0"
"1","EN14825_048","0.900","4","3","0","2","0"
"1","EN14825_048","0.900","5","3","0","2","0"
"1","EN14825_012","8.35","4","3","0","2","0"
"1","EN14825_012","7.70","5","3","0","2","0"
"1","EN14825_013","5.63","4","3","0","2","0"
"1","EN14825_013","3.62","5","3","0","2","0"
"1","EN14825_049","0.900","4","3","0","2","0"
"1","EN14825_049","0.900","5","3","0","2","0"
"1","EN14825_014","8.06","4","3","0","2","0"
"1","EN14825_014","8.61","5","3","0","2","0"
"1","EN14825_015","7.79","4","3","0","2","0"
"1","EN14825_015","6.29","5","3","0","2","0"
"1","EN14825_050","0.900","4","3","0","2","0"
"1","EN14825_050","0.900","5","3","0","2","0"
"1","EN14825_016","14.19","4","3","0","2","0"
"1","EN14825_016","14.82","5","3","0","2","0"
"1","EN14825_017","3.10","4","3","0","2","0"
"1","EN14825_017","2.19","5","3","0","2","0"
"1","EN14825_018","14.00","4","3","0","2","0"
"1","EN14825_018","15.82","5","3","0","2","0"
"1","EN14825_019","2.84","4","3","0","2","0"
"1","EN14825_019","2.23","5","3","0","2","0"
"1","EN14825_021","0.900","4","3","0","2","0"
"1","EN14825_021","0.900","5","3","0","2","0"
"1","EN14825_022","51","4","3","0","2","0"
"1","EN14825_022","51","5","3","0","2","0"
"1","EN14825_023","14","4","3","0","2","0"
"1","EN14825_023","14","5","3","0","2","0"
"1","EN14825_024","33","4","3","0","2","0"
"1","EN14825_024","33","5","3","0","2","0"
"1","EN14825_025","14","4","3","0","2","0"
"1","EN14825_025","14","5","3","0","2","0"
"1","EN14825_026","40","4","3","0","2","0"
"1","EN14825_026","40","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","2.04","4","3","0","2","0"
"1","EN14825_028","0.93","5","3","0","2","0"
"1","EN14825_029","7354","4","3","0","2","0"
"1","EN14825_029","10423","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","3,500 kg","0","0","0","0"
"","Date","24.08.2023","0","0","0","0"
"","Manufacturer"," Megawave Energy Limited","0","0","0","0"
"","Modelname","Air Source Heat Pump R32 24","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
